model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
202 0.004 0.74 14.0 68575.0 5150.0
203 0.004 0.74 14.0 68575.0 5200.0
204 0.004 0.74 14.1 68900.0 4400.0
205 0.004 0.74 14.1 68900.0 4450.0
206 0.004 0.74 14.1 68900.0 4500.0
207 0.004 0.74 14.1 68900.0 4550.0
208 0.004 0.74 14.1 68900.0 4600.0
209 0.004 0.74 14.1 68900.0 4650.0
210 0.004 0.74 14.1 68900.0 4700.0
211 0.004 0.74 14.1 68900.0 4750.0
212 0.004 0.74 14.1 68900.0 4800.0
213 0.004 0.74 14.1 68900.0 4850.0
214 0.004 0.74 14.1 68900.0 4900.0
215 0.004 0.74 14.1 68900.0 4950.0
216 0.004 0.74 14.1 68900.0 5000.0
217 0.004 0.74 14.1 68900.0 5050.0
218 0.004 0.74 14.1 68900.0 5100.0
219 0.004 0.74 14.1 68900.0 5150.0
220 0.004 0.74 14.1 68900.0 5200.0
221 0.004 0.74 14.1 69225.0 4400.0
222 0.004 0.74 14.1 69225.0 4450.0
223 0.004 0.74 14.1 69225.0 4500.0
224 0.004 0.74 14.1 69225.0 4550.0
225 0.004 0.74 14.1 69225.0 4600.0
226 0.004 0.74 14.1 69225.0 4650.0
227 0.004 0.74 14.1 69225.0 4700.0
228 0.004 0.74 14.1 69225.0 4750.0
229 0.004 0.74 14.1 69225.0 4800.0
230 0.004 0.74 14.1 69225.0 4850.0
231 0.004 0.74 14.1 69225.0 4900.0
232 0.004 0.74 14.1 69225.0 4950.0
233 0.004 0.74 14.1 69225.0 5000.0
234 0.004 0.74 14.1 69225.0 5050.0
235 0.004 0.74 14.1 69225.0 5100.0
236 0.004 0.74 14.1 69225.0 5150.0
237 0.004 0.74 14.1 69225.0 5200.0
238 0.004 0.74 14.1 69550.0 4400.0
239 0.004 0.74 14.1 69550.0 4450.0
240 0.004 0.74 14.1 69550.0 4500.0
241 0.004 0.74 14.1 69550.0 4550.0
242 0.004 0.74 14.1 69550.0 4600.0
243 0.004 0.74 14.1 69550.0 4650.0
244 0.004 0.74 14.1 69550.0 4700.0
245 0.004 0.74 14.1 69550.0 4750.0
246 0.004 0.74 14.1 69550.0 4800.0
247 0.004 0.74 14.1 69550.0 4850.0
248 0.004 0.74 14.1 69550.0 4900.0
249 0.004 0.74 14.1 69550.0 4950.0
250 0.004 0.74 14.1 69550.0 5000.0
251 0.004 0.74 14.1 69550.0 5050.0
252 0.004 0.74 14.1 69550.0 5100.0
253 0.004 0.74 14.1 69550.0 5150.0
254 0.004 0.74 14.1 69550.0 5200.0
255 0.004 0.74 14.1 69875.0 4400.0
256 0.004 0.74 14.1 69875.0 4450.0
257 0.004 0.74 14.1 69875.0 4500.0
258 0.004 0.74 14.1 69875.0 4550.0
259 0.004 0.74 14.1 69875.0 4600.0
260 0.004 0.74 14.1 69875.0 4650.0
261 0.004 0.74 14.1 69875.0 4700.0
262 0.004 0.74 14.1 69875.0 4750.0
263 0.004 0.74 14.1 69875.0 4800.0
264 0.004 0.74 14.1 69875.0 4850.0
265 0.004 0.74 14.1 69875.0 4900.0
266 0.004 0.74 14.1 69875.0 4950.0
267 0.004 0.74 14.1 69875.0 5000.0
268 0.004 0.74 14.1 69875.0 5050.0
269 0.004 0.74 14.1 69875.0 5100.0
270 0.004 0.74 14.1 69875.0 5150.0
271 0.004 0.74 14.1 69875.0 5200.0
272 0.004 0.74 14.2 70200.0 4400.0
273 0.004 0.74 14.2 70200.0 4450.0
274 0.004 0.74 14.2 70200.0 4500.0
275 0.004 0.74 14.2 70200.0 4550.0
276 0.004 0.74 14.2 70200.0 4600.0
277 0.004 0.74 14.2 70200.0 4650.0
278 0.004 0.74 14.2 70200.0 4700.0
279 0.004 0.74 14.2 70200.0 4750.0
